date,bike_count
2015-02-23,3670.0
2015-02-24,5245.0
2015-02-25,5137.0
2015-02-26,5515.0
2015-02-27,3615.0
2015-02-28,3727.0
2015-03-01,1422.0
2015-03-02,4427.0
2015-03-03,5490.0
2015-03-04,4846.0
2015-03-05,5130.0
2015-03-06,5321.0
2015-03-07,4112.0
2015-03-08,2148.0
2015-03-09,5649.0
2015-03-10,5319.0
2015-03-11,5738.0
2015-03-12,5905.0
2015-03-13,5380.0
2015-03-14,3615.0
2015-03-15,1782.0
2015-03-16,5850.0
2015-03-17,6255.0
2015-03-18,6675.0
2015-03-19,6420.0
2015-03-20,6334.0
2015-03-21,4120.0
2015-03-22,2616.0
2015-03-23,5587.0
2015-03-24,6168.0
2015-03-25,6171.0
2015-03-26,5429.0
2015-03-27,5745.0
2015-03-28,4017.0
2015-03-29,1056.0
2015-03-30,4091.0
2015-03-31,3396.0
2015-04-01,4660.0
2015-04-02,3477.0
2015-04-03,1520.0
2015-04-04,1559.0
2015-04-05,966.0
2015-04-06,1121.0
2015-04-07,5324.0
2015-04-08,5896.0
2015-04-09,6365.0
2015-04-10,6377.0
2015-04-11,4138.0
2015-04-12,2478.0
2015-04-13,6975.0
2015-04-14,7607.0
2015-04-15,7894.0
2015-04-16,7503.0
2015-04-17,6419.0
2015-04-18,5511.0
2015-04-19,2431.0
2015-04-20,7272.0
2015-04-21,7800.0
2015-04-22,7775.0
2015-04-23,8148.0
2015-04-24,7606.0
2015-04-25,3949.0
2015-04-26,2709.0
2015-04-27,6357.0
2015-04-28,6785.0
2015-04-29,7666.0
2015-04-30,6849.0
2015-05-01,1019.0
2015-05-02,4300.0
2015-05-03,1476.0
2015-05-04,7391.0
2015-05-05,7274.0
2015-05-06,7928.0
2015-05-07,7866.0
2015-05-08,7627.0
2015-05-09,5246.0
2015-05-10,2674.0
2015-05-11,7848.0
2015-05-12,8004.0
2015-05-13,8572.0
2015-05-14,3040.0
2015-05-15,5361.0
2015-05-16,5266.0
2015-05-17,3179.0
2015-05-18,7916.0
2015-05-19,7240.0
2015-05-20,6417.0
2015-05-21,7989.0
2015-05-22,7476.0
2015-05-23,4977.0
2015-05-24,2571.0
2015-05-25,2093.0
2015-05-26,6317.0
2015-05-27,6730.0
2015-05-28,7016.0
2015-05-29,5492.0
2015-05-30,4366.0
2015-05-31,2590.0
2015-06-01,5382.0
2015-06-02,8117.0
2015-06-03,8101.0
2015-06-04,3166.0
2015-06-05,6623.0
2015-06-06,4915.0
2015-06-07,2733.0
2015-06-08,5773.0
2015-06-09,7009.0
2015-06-10,7508.0
2015-06-11,8118.0
2015-06-12,7315.0
2015-06-13,5872.0
2015-06-14,3211.0
2015-06-15,7289.0
2015-06-16,8166.0
2015-06-17,7896.0
2015-06-18,4560.0
2015-06-19,6280.0
2015-06-20,4162.0
2015-06-21,2354.0
2015-06-22,5307.0
2015-06-23,6401.0
2015-06-24,7546.0
2015-06-25,8073.0
2015-06-26,7865.0
2015-06-27,4840.0
2015-06-28,3162.0
2015-06-29,7729.0
2015-06-30,8733.0
2015-07-01,8084.0
2015-07-02,8094.0
2015-07-03,7417.0
2015-07-04,5002.0
