"date","temperature","humidity","windspeed","wind_direction","visibility","precipitation","sun","windspeed_max","precip_indic","precip_type"
2022-06-26,23.05,61.8888888888889,2.29444444444444,217.777777777778,66336.6666666667,0,524,7.4,0,0
2022-06-27,19.3833333333333,82.8333333333333,3.01111111111111,236.666666666667,46145.5555555556,3.4,74,7.1,1,6
2022-06-28,21.6833333333333,56.8333333333333,2.81111111111111,65,54066.6666666667,0,692,9.5,0,0
2022-06-29,23.9833333333333,61.2777777777778,2.42777777777778,226.111111111111,58593.8888888889,0,563,7,0,0
2022-06-30,24.3777777777778,59.5,2.66111111111111,195.555555555556,50252.2222222222,0.4,611,18.9,0,0
2022-07-01,17.8222222222222,68.4444444444444,2.85555555555556,226.666666666667,63272.7777777778,1.3,350,7.4,0,0
2022-07-02,22.45,50.1666666666667,3.02222222222222,79.4444444444444,54327.7777777778,0,905,8.8,0,0
2022-07-03,24.7666666666667,49.9444444444444,3.32222222222222,236.666666666667,64025.5555555556,0,887,9,0,0
2022-07-04,23.0611111111111,49.3333333333333,1.91666666666667,188.888888888889,60461.6666666667,0,821,6.4,0,0
2022-07-05,22.6,47.9444444444444,2.37777777777778,242.777777777778,60802.7777777778,0,873,8.3,0,0
2022-07-06,19.8,50.9444444444444,2.96666666666667,195.555555555556,62565,0,619,8.1,0,0
2022-07-07,18.8611111111111,60.3888888888889,4.32222222222222,260,62685.5555555556,0,79,10.6,0,0
2022-07-08,18.8555555555556,49.7222222222222,2.3,149.444444444444,54023.3333333333,0,852,7.6,0,0
2022-07-09,21.5777777777778,53.7222222222222,1.80555555555556,241.666666666667,59140.5555555556,0,592,11.4,0,0
2022-07-10,19,51.3333333333333,4.27222222222222,110.555555555556,62607.7777777778,0,405,10,0,0
2022-07-11,21.4777777777778,55.2777777777778,2.22222222222222,127.777777777778,55790,0,543,7.5,0,0
2022-07-12,23.2944444444444,49.8333333333333,2.82222222222222,98.8888888888889,61756.1111111111,0,858,8.4,0,0
2022-07-13,24.8555555555556,47.1111111111111,1.76666666666667,212.222222222222,59776.6666666667,0,424,6.7,0,0
2022-07-14,26.2666666666667,43.7222222222222,4.28333333333333,177.222222222222,57096.1111111111,0,581,14,0,0
2022-07-15,21.7444444444444,44.2222222222222,3.31111111111111,153.888888888889,60913.8888888889,0,849,8.3,0,0
2022-07-16,21.9111111111111,42.1111111111111,2.41666666666667,135.555555555556,63278.8888888889,0,871,7.7,0,0
2022-07-17,23.9888888888889,35.0555555555556,3.73888888888889,105.555555555556,66791.1111111111,0,870,9,0,0
2022-07-18,26.3,35.6111111111111,2.47777777777778,154.444444444444,59762.2222222222,0,866,7.3,0,0
2022-07-19,29.6777777777778,33.7777777777778,3.37222222222222,152.222222222222,55315.5555555556,0,869,10.8,0,0
2022-07-20,27.4222222222222,49.3888888888889,3.85555555555556,223.888888888889,35988.3333333333,1.7,610,17,0,0
2022-07-21,24.1833333333333,61.5555555555556,3.56111111111111,242.222222222222,45180.5555555556,0,508,9.4,0,0
2022-07-22,25.5055555555556,55.6666666666667,3.40555555555556,157.777777777778,42318.8888888889,0,753,8.5,0,0
2022-07-23,25.5833333333333,52.7777777777778,2.68333333333333,244.444444444444,52552.7777777778,0.1,487,10.9,0,0
2022-07-24,26.4222222222222,48.3888888888889,2.00555555555556,280,52103.8888888889,0,852,6.3,0,0
2022-07-25,28.0166666666667,47.7222222222222,4.39444444444444,226.666666666667,48873.8888888889,0.3,556,12.8,0,0
2022-07-26,23.5888888888889,47.8333333333333,4.23888888888889,247.777777777778,66771.6666666667,0,586,13.8,0,0
2022-07-27,22.65,47.4444444444444,3.82222222222222,147.777777777778,66053.3333333333,0,672,9.2,0,0
2022-07-28,24.3444444444444,42.1666666666667,4.81111111111111,40.5555555555556,61732.2222222222,0,624,10.5,0,0
2022-07-29,24.3222222222222,48.6111111111111,4.02222222222222,221.666666666667,53561.6666666667,0,562,10.5,0,0
2022-07-30,24.8833333333333,43.7777777777778,3.48888888888889,251.111111111111,60187.7777777778,0,666,9.6,0,0
2022-07-31,26.05,41.6666666666667,3.84444444444444,236.666666666667,64398.3333333333,0,631,11.4,0,0
2022-08-01,24.7166666666667,52.2777777777778,3.19444444444444,262.222222222222,67296.6666666667,0,430,8.8,0,0
2022-08-02,23.9285714285714,56,1.78571428571429,239.285714285714,58673.5714285714,0,510,7.3,0,0
2022-08-03,27.8555555555556,45.3333333333333,1.54444444444444,256.666666666667,56320,0,833,6.9,0,0
