start,end,year,stateCode,name,slug
2022-04-11,2022-04-16,2022,ST,osterferien sachsen-anhalt 2022,osterferien sachsen-anhalt 2022-2022-ST
2022-05-23,2022-05-28,2022,ST,pfingstferien sachsen-anhalt 2022,pfingstferien sachsen-anhalt 2022-2022-ST
2022-07-14,2022-08-24,2022,ST,sommerferien sachsen-anhalt 2022,sommerferien sachsen-anhalt 2022-2022-ST
2022-10-24,2022-11-04,2022,ST,herbstferien sachsen-anhalt 2022,herbstferien sachsen-anhalt 2022-2022-ST
2022-12-21,2023-01-05,2022,ST,weihnachtsferien sachsen-anhalt 2022,weihnachtsferien sachsen-anhalt 2022-2022-ST
2022-04-04,2022-04-16,2022,SH,osterferien schleswig-holstein 2022,osterferien schleswig-holstein 2022-2022-SH
2022-05-27,2022-05-28,2022,SH,pfingstferien schleswig-holstein 2022,pfingstferien schleswig-holstein 2022-2022-SH
2022-07-04,2022-08-13,2022,SH,sommerferien schleswig-holstein 2022,sommerferien schleswig-holstein 2022-2022-SH
2022-10-10,2022-10-21,2022,SH,herbstferien schleswig-holstein 2022,herbstferien schleswig-holstein 2022-2022-SH
2022-12-23,2023-01-07,2022,SH,weihnachtsferien schleswig-holstein 2022,weihnachtsferien schleswig-holstein 2022-2022-SH
2022-02-12,2022-02-19,2022,TH,winterferien thüringen 2022,winterferien thüringen 2022-2022-TH
2022-04-11,2022-04-23,2022,TH,osterferien thüringen 2022,osterferien thüringen 2022-2022-TH
2022-05-27,2022-05-27,2022,TH,pfingstferien thüringen 2022 (beweglicher ferientag),pfingstferien thüringen 2022 (beweglicher ferientag)-2022-TH
2022-07-18,2022-08-27,2022,TH,sommerferien thüringen 2022,sommerferien thüringen 2022-2022-TH
2022-10-17,2022-10-29,2022,TH,herbstferien thüringen 2022,herbstferien thüringen 2022-2022-TH
2022-12-22,2023-01-03,2022,TH,weihnachtsferien thüringen 2022,weihnachtsferien thüringen 2022-2022-TH
2023-04-06,2023-04-06,2023,BW,osterferien baden-württemberg 2023 (beweglicher ferientag),osterferien baden-württemberg 2023 (beweglicher ferientag)-2023-BW
2023-04-11,2023-04-15,2023,BW,osterferien baden-württemberg 2023,osterferien baden-württemberg 2023-2023-BW
2023-05-30,2023-06-09,2023,BW,pfingstferien baden-württemberg 2023,pfingstferien baden-württemberg 2023-2023-BW
2023-07-27,2023-09-09,2023,BW,sommerferien baden-württemberg 2023,sommerferien baden-württemberg 2023-2023-BW
2023-10-30,2023-11-03,2023,BW,herbstferien baden-württemberg 2023,herbstferien baden-württemberg 2023-2023-BW
2023-12-23,2024-01-05,2023,BW,weihnachtsferien baden-württemberg 2023,weihnachtsferien baden-württemberg 2023-2023-BW
2023-02-20,2023-02-24,2023,BY,winterferien bayern 2023,winterferien bayern 2023-2023-BY
2023-04-03,2023-04-15,2023,BY,osterferien bayern 2023,osterferien bayern 2023-2023-BY
2023-05-30,2023-06-09,2023,BY,pfingstferien bayern 2023,pfingstferien bayern 2023-2023-BY
2023-07-31,2023-09-11,2023,BY,sommerferien bayern 2023,sommerferien bayern 2023-2023-BY
2023-10-30,2023-11-03,2023,BY,herbstferien bayern 2023,herbstferien bayern 2023-2023-BY
